courseCode;; courseName;; courseDescription;; coursePrereqs;; courseLevel;; courseSeasons
// ";;" is used for delimiter for headings: take note
// ", " is used for delimiter for coursePrereqs and courseSeasons
// make sure there are no trailing lines at the end of the file!!
//
// HS
HS;; High School;; Any course connected to this node has no prerequisites;; ;; 1;; 
// Transfer Credits
CHEM 120;; Physical and Chemical Properties of Matter;; The stoichiometry of compounds and chemical reactions. Properties of gases. Periodicity and chemical bonding. Energy changes in chemical systems. Electronic structure of atoms and molecules; correlation with the chemical reactivity of common elements, inorganic and organic compounds.;; HS;; 2;; F, W
CHEM 123;; Chemical Reactions, Equilibria and Kinetics;; Properties of liquids and solutions. Introduction to chemical equilibria. Principles of acid-base equilibria, solubility and electrochemical processes. Chemical kinetics.;; CHEM 120;; 3;; W, S
// 1A
MATH 145;; Algebra (Advanced Level);; An introduction to the language of mathematics and proof techniques through a study of the basic algebraic systems of mathematics: the integers, the integers modulo n, the rational numbers, the real numbers, the complex numbers and polynomials.;; HS;; 2;; F
MATH 147;; Calculus 1 (Advanced Level);; Absolute values and inequalities. Sequences and their limits. Introduction to series. Limits of functions and continuity. The Intermediate Value theorem and approximate solutions to equations. Derivatives, linear approximation, and Newton's method. The Mean Value theorem and error bounds. Applications of the Mean Value theorem, Taylor polynomials, and Taylor's theorem, Big-O notation. Suitable topics are illustrated using computer software.;; HS;; 2;; F
CS 145;; Designing Functional Programs (Advanced Level);; An introduction to the fundamentals of computer science through the application of elementary programming patterns in the functional style of programming. Syntax and semantics of a functional programming language. Tracing via substitution. Design, testing, and documentation. Linear and nonlinear data structures. Recursive data definitions. Abstraction and encapsulation. Generative and structural recursion. Historical context.;; HS;; 2;; F
PHIL 145;; Critical Thinking;; An analysis of basic types of reasoning, structure of arguments, critical assessment of information, common fallacies, problems of clarity and meaning.;; HS;; 2;; F, W, S
GEOG 101;; Human Geographies;; An introduction to human geography through key subfields of the discipline, examining population change, the rise of cities, our relationship to nature, social inequalities, economic forms, cultural difference and environmental change at the local and global scale.;; HS;; 2;; F, W, S
// 1B
MATH 146;; Linear Algebra 1 (Advanced Level);; Systems of linear equations, matrix algebra, elementary matrices, computational issues. Real n-space, vector spaces and subspaces, basis and dimension, rank of a matrix, linear transformations, and matrix representations. Determinants, eigenvalues and diagonalization, applications.;; MATH 145;; 3;; W
MATH 148;; Calculus 2 (Advanced Level);; Systems of linear equations, matrix algebra, elementary matrices, computational issues. Real n-space, vector spaces and subspaces, basis and dimension, rank of a matrix, linear transformations, and matrix representations. Determinants, eigenvalues and diagonalization, applications.;; MATH 147;; 3;; W
CS 146;; Elementary Algorithm Design and Data Abstraction (Advanced Level);; This course builds on the techniques and patterns learned in CS 135 while making the transition to use an imperative language. It introduces the design and analysis of algorithms, the management of information, and the programming mechanisms and methodologies required in implementations. Topics discussed include iterative and recursive sorting algorithms; lists, stacks, queues, trees, and their application; abstract data types and their implementations.;; CS 145;; 3;; W
PSYCH 101;; Introductory Psychology;; A general survey course designed to provide the student with an understanding of the basic concepts and techniques of modern psychology as a behavioural science.;; HS;; 3;; F, W, S
